date_iso,date_human,title,company,location,apply_url,source
2025-08-25,"Aug 25, 2025","Manager II, Engineering - Internal Services Platform: Workloads & Integrations",datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/7184953/?gh_jid=7184953,Greenhouse:datadog
2025-08-27,"Aug 27, 2025",Senior Software Engineer - Windows system internals,datadog,"{'name': 'Lisbon, Portugal'}",https://careers.datadoghq.com/detail/6841346/?gh_jid=6841346,Greenhouse:datadog
2025-08-27,"Aug 27, 2025",Senior Software Engineer - macOS System internals,datadog,"{'name': 'Lisbon, Portugal'}",https://careers.datadoghq.com/detail/7116235/?gh_jid=7116235,Greenhouse:datadog
2025-08-28,"Aug 28, 2025",Senior Software Engineer - Internal Service Platform,datadog,"{'name': 'Paris, France'}",https://careers.datadoghq.com/detail/6370445/?gh_jid=6370445,Greenhouse:datadog
2025-09-02,"Sep 02, 2025",Senior Product Designer - Internal Tools,datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/6871675/?gh_jid=6871675,Greenhouse:datadog
2025-09-03,"Sep 03, 2025","Senior Security Engineer, Internal Trust",datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/6574046/?gh_jid=6574046,Greenhouse:datadog
2025-09-08,"Sep 08, 2025",Product Management Intern,datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/7127832/?gh_jid=7127832,Greenhouse:datadog
2025-09-08,"Sep 08, 2025",Software Engineering Intern (Summer),datadog,"{'name': 'Boston, Massachusetts, USA; New York, New York, USA'}",https://careers.datadoghq.com/detail/7158137/?gh_jid=7158137,Greenhouse:datadog
2025-09-09,"Sep 09, 2025",Internal Audit Technology Lead,stripe,{'name': 'Seattle'},https://stripe.com/jobs/search?gh_jid=6262030,Greenhouse:stripe
2025-09-09,"Sep 09, 2025","Internal Audit, Head of Professional Practices",stripe,{'name': 'NYC'},https://stripe.com/jobs/search?gh_jid=7005405,Greenhouse:stripe
2025-09-09,"Sep 09, 2025","PhD Machine Learning Engineer, Intern",stripe,"{'name': 'San Francisco, New York City, Seattle'}",https://stripe.com/jobs/search?gh_jid=7216664,Greenhouse:stripe
2025-09-09,"Sep 09, 2025","Software Engineer, Intern",stripe,{'name': 'Singapore'},https://stripe.com/jobs/search?gh_jid=7206401,Greenhouse:stripe
2025-09-09,"Sep 09, 2025","Software Engineer, Intern",stripe,{'name': 'Bengaluru'},https://stripe.com/jobs/search?gh_jid=6230907,Greenhouse:stripe
2025-09-09,"Sep 09, 2025","Software Engineer, Intern (Summer and Winter)",stripe,"{'name': 'San Francisco, Seattle, New York City'}",https://stripe.com/jobs/search?gh_jid=7210115,Greenhouse:stripe
2025-09-11,"Sep 11, 2025",Applied Science Intern,datadog,"{'name': 'Paris, France'}",https://careers.datadoghq.com/detail/7158100/?gh_jid=7158100,Greenhouse:datadog
2025-09-11,"Sep 11, 2025",Software Engineering Intern,datadog,"{'name': 'Madrid, Spain'}",https://careers.datadoghq.com/detail/7158112/?gh_jid=7158112,Greenhouse:datadog
2025-09-11,"Sep 11, 2025",Software Engineering Intern,datadog,"{'name': 'Paris, France'}",https://careers.datadoghq.com/detail/7158118/?gh_jid=7158118,Greenhouse:datadog
2025-09-12,"Sep 12, 2025","Manager I, Engineering - Internal Services Platform: Workloads & Integrations",datadog,"{'name': 'Lisbon, Portugal'}",https://careers.datadoghq.com/detail/7137278/?gh_jid=7137278,Greenhouse:datadog
2025-09-12,"Sep 12, 2025",Product Management Intern,datadog,"{'name': 'Paris, France'}",https://careers.datadoghq.com/detail/7158105/?gh_jid=7158105,Greenhouse:datadog
2025-09-16,"Sep 16, 2025",International Communications - Campaigns,stripe,{'name': 'London'},https://stripe.com/jobs/search?gh_jid=6482046,Greenhouse:stripe
2025-09-16,"Sep 16, 2025","Software Engineer, Intern",stripe,{'name': 'Bucharest'},https://stripe.com/jobs/search?gh_jid=7206496,Greenhouse:stripe
2025-09-16,"Sep 16, 2025","Software Engineer, Intern",stripe,{'name': 'Dublin'},https://stripe.com/jobs/search?gh_jid=7206494,Greenhouse:stripe
2025-09-16,"Sep 16, 2025","Software Engineer, Intern",stripe,{'name': 'Toronto'},https://stripe.com/jobs/search?gh_jid=7206389,Greenhouse:stripe
2025-09-17,"Sep 17, 2025",Senior Internal Auditor,datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/6993745/?gh_jid=6993745,Greenhouse:datadog
2025-09-18,"Sep 18, 2025","Backend Engineer, Internal Identity",stripe,{'name': 'N/A'},https://stripe.com/jobs/search?gh_jid=7261266,Greenhouse:stripe
2025-09-19,"Sep 19, 2025","Staff Engineer, Internal Systems",stripe,"{'name': 'SEA, SF'}",https://stripe.com/jobs/search?gh_jid=7251857,Greenhouse:stripe
